arm,model,grid,seed,path,bytes,n_params,sha256
cross,nnconv,UK,0,cross_nnconv/cc_nnconv_UK_s0.pt,4674625,1166660,ac06479bb40ecc97e134c7484c5fd968c293021abe06aef31722d20ced42439f
cross,nnconv,UK,100,cross_nnconv/cc_nnconv_UK_s100.pt,4674745,1166660,caea15d43ef8636c0808c1f7c61a025583ff5c10943f17075b272b11745fdfae
cross,nnconv,UK,300,cross_nnconv/cc_nnconv_UK_s300.pt,4674745,1166660,9c680971969982c7d91df6e16da5dbc1407cdf8965a9bb9bed3974ac3b17a9a7
cross,transformer,IEEE118,0,cross_transformer/cc_transformer_IEEE118_s0.pt,765743,188516,6e7c47b055427c4b66ea5e7c59b88e96b8e12594cdfb76cd3f8a2e899a91802e
cross,transformer,IEEE118,100,cross_transformer/cc_transformer_IEEE118_s100.pt,765819,188516,ee3dcbbc1a49fd697202db7266223bda11f478c1d25b1d6365392f795032f956
cross,transformer,IEEE118,300,cross_transformer/cc_transformer_IEEE118_s300.pt,765819,188516,5bbbc70bfd7f0c8e5c1128890b23186eca0295eed6ca86ccd0583343334f20c9
cross,transformer,IEEE118,700,cross_transformer/cc_transformer_IEEE118_s700.pt,765819,188516,4d12bceee6232522a48e38601e1493f13567ee5465f2f6ab8d159a7d65915263
cross,transformer,IEEE118,1000,cross_transformer/cc_transformer_IEEE118_s1000.pt,765921,188516,5456ecac803429f8c9f3bdc0ad2cbbed7e49b14d1fe10b737035a6cd1a8c568b
cross,transformer,IEEE24,0,cross_transformer/cc_transformer_IEEE24_s0.pt,765705,188516,090de54594d7470a752b87e83cc13dc73931bb4930b6a3f90937634c928404d3
cross,transformer,IEEE24,100,cross_transformer/cc_transformer_IEEE24_s100.pt,765781,188516,283032f2b43862c676faa265522042fdf16259dc0850d9fa90499836c985449c
cross,transformer,IEEE24,300,cross_transformer/cc_transformer_IEEE24_s300.pt,765781,188516,e079c7f73ad6686f82d799cef8d37b5a8442fae6ada4ad045b826cef3b06b8fa
cross,transformer,IEEE24,700,cross_transformer/cc_transformer_IEEE24_s700.pt,765781,188516,8f608f235d74402be81eb5842a54f9ce8012b7cddf9b87d6d3c01b133e244b66
cross,transformer,IEEE24,1000,cross_transformer/cc_transformer_IEEE24_s1000.pt,765819,188516,0e4facf41b028ac5d0506e67c1a1700efe2da1c1d2df68cd977681fc895fa97a
cross,transformer,IEEE39,0,cross_transformer/cc_transformer_IEEE39_s0.pt,765705,188516,44212e68d867437864364c61023e2829ea5b5140482dc6b6d9b075ad1ba42c01
cross,transformer,IEEE39,100,cross_transformer/cc_transformer_IEEE39_s100.pt,765781,188516,cc62b5f823ba4940b9e044610547967fff87d6da85d8461b1daeede6c959b952
cross,transformer,IEEE39,300,cross_transformer/cc_transformer_IEEE39_s300.pt,765781,188516,ba2a5ab8393b27bd306e47d2651ce30466608a15c56ada156854baa44b051e79
cross,transformer,IEEE39,700,cross_transformer/cc_transformer_IEEE39_s700.pt,765781,188516,091e0b582c7dea001c24f55f73ca5694e0b3c787ffd77695cadca711bcf956a1
cross,transformer,IEEE39,1000,cross_transformer/cc_transformer_IEEE39_s1000.pt,765819,188516,bf45fe9e92e92f98b352c59f39f095bd89374bc4e6d101debda002fed19aaf81
cross,transformer,UK,0,cross_transformer/cc_transformer_UK_s0.pt,765489,188516,6baa8f6a054453ce8e8f51cfcdd20c37bd817b5c799d8b56cc915f3c488a3bb6
cross,transformer,UK,100,cross_transformer/cc_transformer_UK_s100.pt,765629,188516,8c62d7d3ea2f576f6cf7189531fa9a4199620c07271528e9b423600ecbad3e1b
cross,transformer,UK,300,cross_transformer/cc_transformer_UK_s300.pt,765629,188516,35ff2ee1c5249ee57708220e0af407bf5c650c8c6a4b778edfbf11159281edc5
cross,transformer,UK,700,cross_transformer/cc_transformer_UK_s700.pt,765629,188516,c943f30642d88be35974f1f9d5fdf0c13ed6e06cefcff4206c08b8f217a41eef
cross,transformer,UK,1000,cross_transformer/cc_transformer_UK_s1000.pt,765667,188516,232d8ea9abb8e2724142bd7768bf2b4853cafa2988bd3858023fa1ba6e6326ed
ood,arma_gnn,IEEE118,0,ood_arma_gnn/ood_arma_gnn_heldout_IEEE118_s0.pt,5478829,1367909,8f3718fe6969cad59f5b20f51678bcd98cf89b40b9743696c7eac5e216102e7f
ood,arma_gnn,IEEE118,100,ood_arma_gnn/ood_arma_gnn_heldout_IEEE118_s100.pt,5478877,1367909,1833fe62b443d7db9df959239714f5cc78c81f98f4d2b77a4d5b7531e5fdce3b
ood,arma_gnn,IEEE118,300,ood_arma_gnn/ood_arma_gnn_heldout_IEEE118_s300.pt,5478877,1367909,15baf599ad07247fc04f123d4f35ba4c8b929acd942f521ee6524cdab34334e4
ood,arma_gnn,IEEE118,700,ood_arma_gnn/ood_arma_gnn_heldout_IEEE118_s700.pt,5478877,1367909,a49b154d7c214bd7d2bc8a45b7afe01e7c5043e979e8ac85e6732fa3210a691e
ood,arma_gnn,IEEE118,1000,ood_arma_gnn/ood_arma_gnn_heldout_IEEE118_s1000.pt,5478901,1367909,375b7a2ddbc9bebd7dfef7a2c8c932edf8ee7c22211e4c0eec08f0822075ff38
ood,arma_gnn,IEEE24,0,ood_arma_gnn/ood_arma_gnn_heldout_IEEE24_s0.pt,5478805,1367909,0a9bacb859a45e3c4c29adfbe8a7892fb647bc27b2daa135787808bc7e9abb70
ood,arma_gnn,IEEE24,100,ood_arma_gnn/ood_arma_gnn_heldout_IEEE24_s100.pt,5478853,1367909,956bc6dd31b5c69d5259c294993a09c853a30ec5341c5a0ae0d7c454aea7b9d3
ood,arma_gnn,IEEE24,300,ood_arma_gnn/ood_arma_gnn_heldout_IEEE24_s300.pt,5478853,1367909,f68aba7292529625ab215201aea4aa2cd728e235fd6e5bc526a901623554ac70
ood,arma_gnn,IEEE24,700,ood_arma_gnn/ood_arma_gnn_heldout_IEEE24_s700.pt,5478853,1367909,a21211856c0fd0349d1d14e3fe066da16029bfdf986e1c7b90ea945e279d2b08
ood,arma_gnn,IEEE24,1000,ood_arma_gnn/ood_arma_gnn_heldout_IEEE24_s1000.pt,5478877,1367909,db924c994d2930fe361c16cd54935ae8824f0de9ce83f16b35ca7f7f4f6cc604
ood,arma_gnn,IEEE39,0,ood_arma_gnn/ood_arma_gnn_heldout_IEEE39_s0.pt,5478805,1367909,9b54af94dc41cfbf7727a4b4cce77f881e4095a8feb9529d973e0b881c713ef9
ood,arma_gnn,IEEE39,100,ood_arma_gnn/ood_arma_gnn_heldout_IEEE39_s100.pt,5478853,1367909,182ce05a5d99fe1d4fea3df01d18c746985e12db14221f3cf840a991a0bf857b
ood,arma_gnn,IEEE39,300,ood_arma_gnn/ood_arma_gnn_heldout_IEEE39_s300.pt,5478853,1367909,893fa815b8f4b3226778b6a26f463cfd18e2354e369a0e9ffcae79cf4dcad533
ood,arma_gnn,IEEE39,700,ood_arma_gnn/ood_arma_gnn_heldout_IEEE39_s700.pt,5478853,1367909,9c3e53512afef46b878687977055ba8990b6bfde8f87016da222666876a6a091
ood,arma_gnn,IEEE39,1000,ood_arma_gnn/ood_arma_gnn_heldout_IEEE39_s1000.pt,5478877,1367909,614ef5a2551c76bd15cdb513d6540a62d73991a742f74b60ec3309a3d63981f3
ood,arma_gnn,UK,0,ood_arma_gnn/ood_arma_gnn_heldout_UK_s0.pt,5478645,1367909,bc6338960657d0715284e4d38568e781a089012defed2b11f4e539a3445f2c3e
ood,arma_gnn,UK,100,ood_arma_gnn/ood_arma_gnn_heldout_UK_s100.pt,5478693,1367909,49b598bf86891a0bea017ee7ad63deeb3ac28fb13401930fb2dc17b2b2ff1c36
ood,arma_gnn,UK,300,ood_arma_gnn/ood_arma_gnn_heldout_UK_s300.pt,5478693,1367909,dbfa9093f29d249200714e5d9d6e10c5004c2cf008f79da52d34117297a46a20
ood,arma_gnn,UK,700,ood_arma_gnn/ood_arma_gnn_heldout_UK_s700.pt,5478693,1367909,cbf1fe408921c0d254571197cf0d14c7143b6175f6ce8e4d299e14c9adb6f141
ood,arma_gnn,UK,1000,ood_arma_gnn/ood_arma_gnn_heldout_UK_s1000.pt,5478717,1367909,f16043a27e2de07f95014d89b2734d49f6768529f4479d04178269641cf5cf70
ood,gat,IEEE118,0,ood_gat/ood_gat_heldout_IEEE118_s0.pt,502101,122980,c86c6bd2594e5305f6c177605cc48c94672df760f56c3ae3a4f4f400f264de28
ood,gat,IEEE118,100,ood_gat/ood_gat_heldout_IEEE118_s100.pt,502169,122980,5cd199423483f3adedbf5dda678c80d8fc8e0e60c5022b89a960bc0e800a0f7d
ood,gat,IEEE118,300,ood_gat/ood_gat_heldout_IEEE118_s300.pt,502169,122980,ec24e86775fa67321a439f2e19750ed3289fbc0ce4d962121e36cab6eb6b733e
ood,gat,IEEE118,700,ood_gat/ood_gat_heldout_IEEE118_s700.pt,502169,122980,b6200d0581701deb9dec10bd7d555b00d19ad25fb016f6a28857e9f0be72ee5b
ood,gat,IEEE118,1000,ood_gat/ood_gat_heldout_IEEE118_s1000.pt,502203,122980,8ad5e9ea16a050aa0de7067c19455fc42567e4e3c2d8fdbb146d862b6a52c9e9
ood,gat,IEEE24,0,ood_gat/ood_gat_heldout_IEEE24_s0.pt,502067,122980,ed7e8b72ba49948acfc5cc4db77513dddc863b627c2c4c6dc1c62da16e788c92
ood,gat,IEEE24,100,ood_gat/ood_gat_heldout_IEEE24_s100.pt,502135,122980,f7e985c47e4118cd2cb682d47bd628d01b444f556c232326f08a0916adae031b
ood,gat,IEEE24,300,ood_gat/ood_gat_heldout_IEEE24_s300.pt,502135,122980,daaa5221c93ef561057cf68605c0679d51407db5672436aceed1c7dd9d735e3d
ood,gat,IEEE24,700,ood_gat/ood_gat_heldout_IEEE24_s700.pt,502135,122980,3d6784cbab451fc212fe7a8f8695a1997bfb75d46649a8043069ec17b3ad4dde
ood,gat,IEEE24,1000,ood_gat/ood_gat_heldout_IEEE24_s1000.pt,502169,122980,da52d3f0201a1918a2d8225e7f8ab91d73d60309e1fd5670f6b0186000d86735
ood,gat,IEEE39,0,ood_gat/ood_gat_heldout_IEEE39_s0.pt,502067,122980,8f358d3fcaff2e952457a2fc8000ca8a20c6c30dbef69864c03bd183c3f1c6d3
ood,gat,IEEE39,100,ood_gat/ood_gat_heldout_IEEE39_s100.pt,502135,122980,81864b443d4a5b21e976c64fd1ec4535ae81478efa9d9b43efe7623d3b5ce95e
ood,gat,IEEE39,300,ood_gat/ood_gat_heldout_IEEE39_s300.pt,502135,122980,de5cfc211f02e3bc7de21c630afd3a06f144ac17c93994a17e26fac3076def87
ood,gat,IEEE39,700,ood_gat/ood_gat_heldout_IEEE39_s700.pt,502135,122980,1e6c125e2d53bde0b5d5c9b425338d5686c956766476ad419775df54fc0e6723
ood,gat,IEEE39,1000,ood_gat/ood_gat_heldout_IEEE39_s1000.pt,502169,122980,80b9b2e97ac67706eb44ed5b30cdfce5d01b03ddbeb995905650f140a04558a5
ood,gat,UK,0,ood_gat/ood_gat_heldout_UK_s0.pt,501867,122980,8bc4fdc31181bd4237dc1763413543d5ca44be19c8dfdaaddad7bae650b3baf2
ood,gat,UK,100,ood_gat/ood_gat_heldout_UK_s100.pt,501999,122980,1125cc1c9b8a65a4620013d28fd308baa8104cc051dc0cff646d752daeeedf13
ood,gat,UK,300,ood_gat/ood_gat_heldout_UK_s300.pt,501999,122980,a7965e601772f5144a4c37fc86af57a43930c74e75c53347429d95ebbee511a8
ood,gat,UK,700,ood_gat/ood_gat_heldout_UK_s700.pt,501999,122980,2a67e4a86d34aec44f8a518a29abd2f6db76426a557440047969ec9b373b62fc
