arm,model,train_grid,test_grid,seed,unseen,normalize,nrmse,checkpoint,pred_n_P,pred_nrmse_P,pred_mae_P,pred_n_Q,pred_nrmse_Q,pred_mae_Q,pred_n_V,pred_nrmse_V,pred_mae_V,pred_n_theta,pred_nrmse_theta,pred_mae_theta,p95_P,p99_P,max_P,p95_Q,p99_Q,max_Q,p95_V,p99_V,max_V,p95_theta,p99_theta,max_theta,vm_n,vm_viol_rate_true,vm_viol_rate_pred,vm_false_secure,vm_false_alarm,ac_dp_mean_mw,ac_dp_max_mw,ac_dp_p95_mw,ac_dq_mean_mvar,ac_dq_max_mvar,ac_dq_p95_mvar,ac_dp_pct_load,ac_dq_pct_load,ac_dp_true_max_mw,branch_loading_max_pct,branch_loading_max_pct_true,overload_rate_true,overload_rate_pred,missed_overload_rate,false_overload_rate
cross,gcn,UK,IEEE39,300,True,pu_zscore,3.83302640914917,ckpt_norm/cross_gcn/cc_gcn_UK_s300.pt,100,25.553468704223633,24275.158203125,1000,9.565834045410156,14245.2734375,2900,0.24602685868740082,0.05509813874959946,3800,0.6927937865257263,53.62526321411133,24920.974609375,25134.0625,25355.357421875,23255.81640625,23905.734375,24108.837890625,0.11152976751327515,0.13873688876628876,0.16191279888153076,118.24987030029297,133.1288604736328,153.02499389648438,2900,0.3834482729434967,0.09896551817655563,0.9946042895317078,0.15715883672237396,6807.678738064414,29478.374587068647,23127.163151407953,6244.899903221219,22224.46977395429,19461.094059531464,5513.727533747743,4934.8238044160935,0.004102766341884667,4428.040361465811,442.2535128840565,0.24041657434079328,0.8067804121426989,0.10506912442396313,0.778879813302217
cross,gcn,UK,IEEE118,300,True,pu_zscore,1.3309963941574097,ckpt_norm/cross_gcn/cc_gcn_UK_s300.pt,100,21.808643341064453,49209.1015625,5400,2.140166759490967,4000.051025390625,6400,0.12401007860898972,0.019560368731617928,11700,0.4292704463005066,145.0241241455078,50260.22265625,50381.8125,51673.76953125,18343.01953125,34266.09765625,36167.6171875,0.05330532044172287,0.09099555015563965,0.13184762001037598,235.076416015625,283.13916015625,332.21343994140625,6400,0.1404687464237213,0.015625,1.0,0.018178513273596764,2374.9565394311817,43825.37312711978,7592.237640349002,2589.757494424135,38828.87543904005,13394.950888509033,7953.591299415108,4012.6589583999257,0.0037645663818632147,5173.792195189664,677.2283342026458,0.10627253852038028,0.6592722106873565,0.32596401028277633,0.6575166595341444
cross,gcn,UK,UK,300,False,pu_zscore,0.00672554224729538,ckpt_norm/cross_gcn/cc_gcn_UK_s300.pt,100,0.02657981775701046,357.3083190917969,2400,0.009190673008561134,46.68132019042969,500,0.04156763479113579,0.0005351806757971644,2800,0.015078962780535221,1.6344943046569824,932.073486328125,2063.452880859375,8086.0361328125,186.40672302246094,424.63916015625,1663.28662109375,0.002175756497308612,0.004225144628435373,0.026107311248779297,4.989322662353516,9.52432918548584,18.605186462402344,500,0.0,0.0,,0.0,1530.6386888787597,25278.910269916505,6253.899813674636,771.2130976778278,72034.13029800759,2997.5572731809566,128.18884366889577,137.04444290745928,0.02256714660795467,1674.6383980897679,366.00194481596884,0.13235955056179774,0.17730337078651687,0.08573853989813243,0.06487956487956488
cross,gcn,UK,IEEE24,700,True,pu_zscore,7.656656742095947,ckpt_norm/cross_gcn/cc_gcn_UK_s700.pt,100,37.660972595214844,46242.69921875,1100,11.229142189025879,5991.90087890625,1300,0.19545873999595642,0.023000167682766914,2300,0.6054997444152832,46.23054885864258,46844.76953125,46883.6171875,46989.69140625,14885.8427734375,15030.474609375,15116.0458984375,0.04702372848987579,0.06234855204820633,0.09028780460357666,77.41505432128906,84.03491973876953,106.74364471435547,1300,0.03999999910593033,0.0,1.0,0.0,5018.559537746719,43698.09926652466,12214.236584182972,3060.8835261193276,13933.996468843568,10718.62878794933,6470.645606518781,5977.267999698279,0.0008034773983256471,1725.8893463178247,151.31231666828333,0.024337479718766902,0.7655489453758788,0.4444444444444444,0.7707871396895787
cross,gcn,UK,IEEE39,700,True,pu_zscore,1.0498241186141968,ckpt_norm/cross_gcn/cc_gcn_UK_s700.pt,100,4.957793235778809,4708.94775390625,1000,2.7538764476776123,4137.49853515625,2900,0.2615079879760742,0.053444456309080124,3800,0.4186471402645111,30.137903213500977,4955.9677734375,5010.1552734375,5010.42919921875,8157.439453125,8189.6005859375,8214.82421875,0.1410071700811386,0.16759519279003143,0.18470513820648193,64.30179595947266,139.64515686035156,154.00320434570312,2900,0.3834482729434967,0.0,1.0,0.0,6188.847984888435,65234.947163261924,35762.57217233585,5739.931648717208,77607.67754692695,49693.661991762354,5012.430778135567,4533.407680564767,0.004102766341884667,5216.053042951334,442.2535128840565,0.24041657434079328,0.7906049191225349,0.10599078341013825,0.7578763127187864
cross,gcn,UK,IEEE118,700,True,pu_zscore,1.1403794288635254,ckpt_norm/cross_gcn/cc_gcn_UK_s700.pt,100,24.959697723388672,56321.2890625,5400,1.030007243156433,2008.7794189453125,6400,0.1557614803314209,0.02682405523955822,11700,0.4780011475086212,164.1152801513672,57339.21484375,57537.51171875,57562.03125,6652.587890625,17511.896484375,18401.85546875,0.06448385864496231,0.1159207820892334,0.16694587469100952,248.81471252441406,290.5591735839844,331.333984375,6400,0.1404687464237213,0.0,1.0,0.0,3159.7606776980574,48141.92354153601,12007.917235258366,2300.473235013214,17065.46444351923,7182.658362858672,10581.271303705735,3561.734808182089,0.0037645663818632147,5136.888370337204,677.2283342026458,0.10627253852038028,0.7552726477980548,0.1588688946015424,0.7450632756617962
cross,gcn,UK,UK,700,False,pu_zscore,0.011145120486617088,ckpt_norm/cross_gcn/cc_gcn_UK_s700.pt,100,0.04259568080306053,854.1253051757812,2400,0.016716260462999344,127.24459838867188,500,0.04175024479627609,0.0005295815644785762,2800,0.04013380780816078,3.114388942718506,1740.5537109375,7558.8984375,8803.466796875,350.47711181640625,534.6350708007812,2384.92333984375,0.0020981905981898308,0.0059318323619663715,0.021444380283355713,10.531461715698242,31.562768936157227,78.31343841552734,500,0.0,0.0,,0.0,4736.950336457488,62471.373856624465,15563.611534874346,3736.698760112062,160093.36475835284,28471.839746029666,395.9363535746359,660.9137347699027,0.02256714660795467,3568.9873973645576,366.00194481596884,0.13235955056179774,0.24337078651685393,0.2495755517826825,0.16601916601916603
within,gin,IEEE118,IEEE118,0,False,pu_zscore,0.001225400366820395,ckpt_norm/within_gin/within_gin_IEEE118_s0.pt,100,0.009274880401790142,21.149860382080078,5400,0.0023509517777711153,3.218950033187866,6400,0.001991991186514497,0.0002123677113559097,11700,0.014129787683486938,0.8530872464179993,31.27969741821289,39.173030853271484,40.278076171875,12.515277862548828,33.32732009887695,101.05712890625,0.0006995854200795293,0.0015496156411245465,0.008973240852355957,1.7672547101974487,8.630520820617676,42.57948303222656,6400,0.13328124582767487,0.13093750178813934,0.02344665862619877,0.0009013881208375096,51.212080552035474,1798.4781878938256,170.03260038112097,12.177642724198702,649.5283959539307,39.24939491940344,170.1733547575078,18.407708128767535,0.004088260984445132,673.0954268330166,659.4805234105978,0.10195652173913043,0.11657608695652173,0.014925373134328358,0.017973856209150325
within,gin,IEEE118,IEEE118,100,False,pu_zscore,0.0007452437421306968,ckpt_norm/within_gin/within_gin_IEEE118_s100.pt,100,0.0036990114022046328,6.654501914978027,5400,0.0012807907769456506,1.9461274147033691,6400,0.002655277494341135,0.0003382605209480971,11700,0.013845358043909073,0.7444968819618225,16.12529182434082,17.98811912536621,45.49560546875,5.89948034286499,18.074552536010742,95.59716796875,0.000968661333899945,0.0021566536743193865,0.006926536560058594,1.5815253257751465,8.264278411865234,41.70697021484375,6400,0.13328124582767487,0.12984375655651093,0.032825320959091187,0.0010816657450050116,45.091116333927594,1484.1737619477324,146.40772295050263,10.108960030728593,470.6618755652556,32.29239554707791,150.77586279879014,15.60214654218344,0.004088260984445132,647.2961595742134,659.4805234105978,0.10195652173913043,0.10831521739130434,0.03731343283582089,0.01131687242798354
within,gin,IEEE118,IEEE118,1000,False,pu_zscore,0.0006802103016525507,ckpt_norm/within_gin/within_gin_IEEE118_s1000.pt,100,0.003833496244624257,6.752768516540527,5400,0.001061231130734086,1.659263253211975,6400,0.001673913444392383,0.00022244958381634206,11700,0.014133662916719913,0.6673215627670288,17.754905700683594,24.817279815673828,24.85546875,5.553778171539307,10.848615646362305,62.387939453125,0.0006451992667280138,0.0011245023924857378,0.007369339466094971,1.6303234100341797,8.267539024353027,45.450340270996094,6400,0.13328124582767487,0.13234375417232513,0.010550996288657188,0.0005408328725025058,46.65407508555184,1920.2306931891655,146.86828784632513,9.941883197198855,723.2165625835472,29.351044216062206,155.19410736400363,14.896141469849136,0.004088260984445132,662.5573044991835,659.4805234105978,0.10195652173913043,0.11016304347826086,0.030383795309168442,0.012587751149842653
