model,train_grid,test_grid,unseen,seed,regime,num_layers,hidden,learning_rate,normalize,nrmse,mse,mae,nrmse_P,nrmse_Q,nrmse_V,nrmse_theta,mse_P,mse_Q,mse_V,mse_theta,mae_P,mae_Q,mae_V,mae_theta
gcn,IEEE118,UK,True,0,B,2,128,0.001,pu_zscore,0.5161105990409851,53227968.0,3276.370361328125,0.1041745766997337,1.1711227893829346,8.642151832580566,17.451234817504883,21806496.0,183171856.0,0.1217532455921173,7933510.0,859.9701538085938,9959.4609375,0.1283909380435943,2285.922119140625
gcn,IEEE118,IEEE24,True,100,B,2,128,0.001,pu_zscore,0.4818429946899414,109771.3046875,112.4350128173828,0.2536785900592804,0.5714696645736694,0.2339275628328323,2.5429458618164062,271377.1875,122924.6171875,0.001152652897872,44783.4609375,105.32986450195312,184.9434967041016,0.0169492736458778,159.44973754882812
gcn,IEEE118,IEEE39,True,100,B,2,128,0.001,pu_zscore,0.6867337822914124,697437.0,234.80105590820312,0.3715726137161255,0.6650388836860657,0.2629469633102417,2.902661800384521,1155504.5,1529338.875,0.0047689345665276,104904.8359375,172.04676818847656,534.3570556640625,0.0495400577783584,232.75086975097656
gcn,IEEE118,IEEE118,False,100,B,2,128,0.001,pu_zscore,0.0072963112033903,331.260009765625,2.543353080749512,0.0016456373268738,0.009824133478105,0.0175995547324419,0.0322655215859413,106.35076141357422,1084.0936279296875,1.527568747405894e-05,134.59556579589844,0.5574784278869629,5.415027618408203,0.0010910446289926,4.1998138427734375
gcn,IEEE118,UK,True,100,B,2,128,0.001,pu_zscore,0.1971005201339721,7763005.5,1029.3642578125,0.0923121944069862,0.3139074444770813,6.562814235687256,5.433058738708496,17123028.0,13160038.0,0.0702129155397415,768956.5625,723.0444946289062,2724.6435546875,0.0965036079287529,669.671875
gcn,IEEE118,IEEE24,True,300,B,2,128,0.001,pu_zscore,0.3990526795387268,75290.15625,97.83329010009766,0.1524638235569,0.7092213034629822,0.1901310682296753,1.411954045295715,98025.546875,189328.53125,0.0007614509086124,13806.529296875,61.076961517333984,230.19723510742188,0.0172156617045402,100.04173278808594
gcn,IEEE118,IEEE39,True,300,B,2,128,0.001,pu_zscore,0.5033552646636963,374694.59375,177.97894287109375,0.2493301182985305,0.5173684358596802,0.2920349836349487,2.0618462562561035,520275.96875,925570.75,0.0058824028819799,52931.625,115.39075469970705,436.0802917480469,0.052429661154747,160.39231872558594
gcn,IEEE118,IEEE118,False,300,B,2,128,0.001,pu_zscore,0.0072362869977951,325.8321228027344,2.318432569503784,0.003168887225911,0.0083894664421677,0.01172595936805,0.0302611701190471,394.3536987304688,790.5819702148438,6.781008323741844e-06,118.39266967773438,1.3588706254959106,4.50612735748291,0.0007040334166958,3.408026695251465
gcn,IEEE118,UK,True,300,B,2,128,0.001,pu_zscore,0.3617766201496124,26153832.0,2416.588623046875,0.1049371510744094,0.7573862075805664,7.3889479637146,15.021119117736816,22126916.0,76610568.0,0.0890024527907371,5877837.5,867.458251953125,6703.46875,0.1148204281926155,2095.312255859375
gcn,IEEE118,IEEE24,True,700,B,2,128,0.001,pu_zscore,0.8208879828453064,318599.84375,218.25538635253903,0.3188464939594269,1.3924977779388428,0.4862545728683471,4.089510917663574,428715.28125,729863.375,0.0049803876318037,115820.6953125,132.88282775878906,455.7937927246094,0.0476967953145504,284.2972717285156
gcn,IEEE118,IEEE39,True,700,B,2,128,0.001,pu_zscore,1.435105562210083,3045761.25,522.9349975585938,0.3588817119598388,1.7589668035507202,0.4076677560806274,5.714369297027588,1077921.0,10698551.0,0.0114629874005913,406573.625,166.16688537597656,1466.670654296875,0.0656705275177955,458.8367309570313
gcn,IEEE118,IEEE118,False,700,B,2,128,0.001,pu_zscore,0.007464341353625,346.6932067871094,2.5958425998687744,0.0020677791908383,0.0098670125007629,0.016260627657175,0.031129416078329,167.9115753173828,1093.577392578125,1.303983481193427e-05,125.2839126586914,0.8552635908126831,5.810869216918945,0.0009962498443201,3.716240406036377
gcn,IEEE118,UK,True,700,B,2,128,0.001,pu_zscore,0.3038026094436645,18443248.0,2071.227294921875,0.0969097763299942,0.5978193283081055,4.054497241973877,16.592113494873047,18871116.0,47730260.0,0.0267985165119171,7171607.5,754.0575561523438,5248.06396484375,0.0569579675793647,2282.729736328125
gcn,IEEE118,IEEE24,True,1000,B,2,128,0.001,pu_zscore,,,,0.2534528970718384,1.0549088716506958,,,270894.53125,418873.09375,,,104.9909439086914,354.2684936523437,,
gcn,IEEE118,IEEE39,True,1000,B,2,128,0.001,pu_zscore,1.4477825164794922,3099808.75,525.6929931640625,0.593574583530426,1.6124975681304932,1.365092396736145,6.074992656707764,2948729.25,8990997.0,0.1285313665866851,459509.15625,274.9035339355469,1337.926513671875,0.1593872755765915,489.7825927734375
