model,train_grid,test_grid,unseen,nrmse,nrmse_P,nrmse_Q,nrmse_V,nrmse_theta
gin,IEEE39,UK,True,0.689875602722168,0.09097706526517868,0.24223530292510986,4161.328125,118.24273681640625
gin,IEEE118,IEEE24,True,9.555671691894531,0.32083505392074585,18.337247848510742,352.2100830078125,6.195639133453369
gin,IEEE118,IEEE39,True,2.7391138076782227,0.3581899404525757,3.385075807571411,52.99394989013672,2.0204997062683105
gin,IEEE118,IEEE118,False,0.00860754307359457,0.0032527316361665726,0.010052811354398727,0.8229750394821167,0.08913997560739517
gin,IEEE118,UK,True,26.838390350341797,2.450084686279297,52.20109176635742,41147.26953125,196.23226928710938
gin,UK,IEEE24,True,0.7064916491508484,0.1010347306728363,1.3299849033355713,28.059083938598633,0.15957608819007874
gin,UK,IEEE39,True,0.1673293262720108,0.07966741919517517,0.17151115834712982,177.49635314941406,0.41464588046073914
gin,UK,IEEE118,True,0.7116098403930664,0.17848360538482666,1.0056891441345215,96.19381713867188,0.6454346776008606
gin,UK,UK,False,0.005721633322536945,0.002596571110188961,0.008271679282188416,28.032503128051758,0.06570979952812195
transformer,IEEE24,IEEE24,False,0.011443081311881542,0.0012456024996936321,0.021127885207533836,0.8751924633979797,0.04340532049536705
transformer,IEEE24,IEEE39,True,0.14517371356487274,0.08885610103607178,0.12578625977039337,3.808865547180176,0.45516130328178406
transformer,IEEE24,IEEE118,True,0.10244818776845932,0.0695083811879158,0.06740777939558029,2.8428642749786377,0.5184962749481201
transformer,IEEE24,UK,True,0.09960903227329254,0.0574360117316246,0.09372527152299881,232.0288543701172,3.4077653884887695
transformer,IEEE39,IEEE24,True,0.16060827672481537,0.10165280103683472,0.11706758290529251,4.1719231605529785,0.5873561501502991
transformer,IEEE39,IEEE39,False,0.01618490368127823,0.0034456721041351557,0.019290603697299957,0.8944899439811707,0.06035376340150833
transformer,IEEE39,IEEE118,True,0.10252789407968521,0.06939522176980972,0.06703411787748337,2.0203466415405273,0.561385989189148
transformer,IEEE39,UK,True,0.14897958934307098,0.08979775756597519,0.12738265097141266,87.54489135742188,2.510721206665039
transformer,IEEE118,IEEE24,True,2.47052264213562,0.10303531587123871,4.733252048492432,3.306391477584839,2.4116365909576416
transformer,IEEE118,IEEE39,True,2.2358944416046143,0.08973121643066406,2.7895989418029785,11.013551712036133,2.5904269218444824
transformer,IEEE118,IEEE118,False,0.0049422308802604675,0.001528208958916366,0.006262768059968948,0.5015864372253418,0.04596070945262909
transformer,IEEE118,UK,True,2.923896551132202,0.27301380038261414,5.679819583892822,189.68162536621094,29.985980987548828
