model,grid,seed,regime,num_layers,hidden,learning_rate,normalize,nrmse,mse,mae,nrmse_P,nrmse_Q,nrmse_V,nrmse_theta,mse_P,mse_Q,mse_V,mse_theta,mae_P,mae_Q,mae_V,mae_theta
arma_gnn,UK,300,A,8,128,0.001,pu_zscore,0.0003189714043401,24.09161949157715,0.9209266304969788,0.0001882150099845,0.0002886879083234,0.0005286548403091,0.0005795554607175,81.05166625976562,15.305416107177734,2.3711813068594267e-10,0.0093937329947948,1.591335654258728,2.033665895462036,5.06228434460354e-06,0.0587001368403434
arma_gnn,UK,700,A,8,128,0.001,pu_zscore,0.0001572335895616,5.854005813598633,0.696519136428833,6.69575747451745e-05,0.0002675361756701,0.0002159878640668,0.0006944201304577,10.257767677307127,13.144769668579102,3.9580286964602245e-11,0.0134863005951046,0.4994086623191833,2.214995622634888,1.7088240156226675e-06,0.0716707706451416
arma_gnn,UK,1000,A,8,128,0.001,pu_zscore,0.0001623288553673,6.239559650421143,0.6305708885192871,7.562451355624944e-05,0.0002541794674471,0.000194304913748,0.0005368437850847,13.0851469039917,11.865029335021973,3.203228307602224e-11,0.0080601684749126,0.5149365067481995,1.9516786336898804,1.323860260526999e-06,0.0556668527424335
gat,IEEE24,0,A,2,128,0.001,pu_zscore,0.0002394897746853,0.0316398851573467,0.0459848195314407,9.944779594661668e-05,0.0003996538289356,0.0005194410332478,0.0006335179787129,0.0485602021217346,0.0763871967792511,3.277064841711308e-09,0.0016121265944093,0.02897884324193,0.1263822615146637,2.8649419618886892e-05,0.028549550101161
gat,IEEE24,100,A,2,128,0.001,pu_zscore,0.0003248702560085,0.0582211576402187,0.0508630834519863,0.0001773144176695,0.0004015189188066,0.0007017752504907,0.0005919253453612,0.1543754339218139,0.0771018266677856,5.981479311856219e-09,0.0014073924394324,0.0687600076198577,0.1107930988073349,4.088662535650656e-05,0.0238583423197269
gat,IEEE24,300,A,2,128,0.001,pu_zscore,0.0002067900204565,0.0235895756632089,0.0523920208215713,7.85360680310987e-05,0.0003511984832584,0.0005198463331907,0.001125251292251,0.0302850566804409,0.0589872039854526,3.2821807494087807e-09,0.0050860466435551,0.0279236603528261,0.1217679753899574,2.645420499902684e-05,0.0598500110208988
gat,IEEE24,700,A,2,128,0.001,pu_zscore,0.0002428046427667,0.0325218327343463,0.0388255231082439,0.0001339096925221,0.0002897566300816,0.0004723921010736,0.0006854538223706,0.0880469158291816,0.0401531308889389,2.7103022048891035e-09,0.0018872859654948,0.0394351258873939,0.0873545110225677,2.6400635761092417e-05,0.0284860711544752
gat,IEEE24,1000,A,2,128,0.001,pu_zscore,0.0003745327703654,0.0773821249604225,0.0609555765986442,0.0002112495276378,0.0004306407063268,0.0005503143183887,0.0006538081797771,0.2191198021173477,0.0886916667222976,3.6781895307314012e-09,0.0017170462524518,0.0800569653511047,0.1335266679525375,3.097000080742873e-05,0.0302077159285545
gat,IEEE39,0,A,2,128,0.001,pu_zscore,0.0133248073980212,270.0330505371094,1.6877166032791138,0.0013937475159764,0.0169552136212587,0.0402597710490226,0.0374011322855949,16.54046630859375,1048.0858154296875,0.0001038257687469,15.505736351013184,0.2979686260223388,5.217118263244629,0.0023840100038796,1.233395218849182
gat,IEEE39,100,A,2,128,0.001,pu_zscore,0.0140396067872643,299.7815856933594,1.955046534538269,0.0028653664048761,0.0174744501709938,0.0406590141355991,0.0379379801452159,69.91007995605469,1113.2620849609375,0.0001058951966115,15.95406436920166,0.8421465158462524,5.708175182342529,0.0025371240917593,1.2673274278640747
gat,IEEE39,300,A,2,128,0.001,pu_zscore,0.0134961968287825,277.0243225097656,1.779319167137146,0.0015452296938747,0.0171471703797578,0.0401574149727821,0.0377712324261665,20.331321716308597,1071.951904296875,0.0001032985019264,15.814126968383787,0.5443698167800903,5.332110404968262,0.0025427620857954,1.2382533550262451
gat,IEEE39,700,A,2,128,0.001,pu_zscore,0.0135067021474242,277.4557189941406,1.7851203680038452,0.0014971575001254,0.0171717815101146,0.0401549227535724,0.0376416370272636,19.085983276367188,1075.031005859375,0.0001032856671372,15.705795288085938,0.4010074734687805,5.578783512115479,0.0024320133961737,1.1582578420639038
gat,IEEE39,1000,A,2,128,0.001,pu_zscore,0.0136836981400847,284.77508544921875,1.7851041555404663,0.0016248031752184,0.0173747558146715,0.0408946946263313,0.0380227193236351,22.479209899902344,1100.5955810546875,0.0001071264050551,16.025413513183594,0.4886454641819,5.394115924835205,0.0024685612879693,1.2551870346069336
gat,IEEE118,0,A,2,128,0.001,pu_zscore,0.0012472642119973,8.763971328735352,0.5879905819892883,0.0004392584960442,0.0014004112454131,0.0024546957574784,0.0161517616361379,7.349720478057861,19.377098083496094,2.64819647100012e-07,8.329063415527344,0.1962001174688339,1.214845895767212,0.000240960260271,0.9406753778457642
gat,IEEE118,100,A,2,128,0.001,pu_zscore,0.0018468636553734,19.215585708618164,0.9113569259643556,0.0006276167114265,0.0023117312230169,0.0023220505099743,0.016841571778059,15.00442886352539,52.80223083496094,2.3697266726685487e-07,9.055689811706545,0.2696360349655151,2.287297010421753,0.0001959392247954,1.0882989168167114
gat,IEEE118,300,A,2,128,0.001,pu_zscore,0.0014922526897862,12.54494571685791,0.6415359377861023,0.0007483400986529,0.0014193069655448,0.0021885042078793,0.0167377647012472,21.331846237182617,19.903535842895508,2.104988254814089e-07,8.9443998336792,0.3694900274276733,1.2109954357147217,0.0001900381903396,0.985468566417694
gat,IEEE118,700,A,2,128,0.001,pu_zscore,0.0018362551927566,18.99547004699707,0.8321592807769775,0.0007713997038081,0.0021117469295859,0.0029849503189325,0.0170244332402944,22.666757583618164,44.06171798706055,3.91587747117228e-07,9.253405570983888,0.4047065377235412,1.8147705793380735,0.0001980866072699,1.108961820602417
gat,IEEE118,1000,A,2,128,0.001,pu_zscore,0.0016233465867117,14.845898628234863,0.6554893255233765,0.0006591161945834,0.0018783990526571,0.0018466374604031,0.0158029273152351,16.548337936401367,34.862083435058594,1.498711981184897e-07,7.9731764793396,0.3268871307373047,1.2850850820541382,0.0001576810027472,1.0098273754119873
