model,grid,seed,regime,num_layers,hidden,learning_rate,nrmse,mse,mae,nrmse_P,nrmse_Q,nrmse_V,nrmse_theta,mse_P,mse_Q,mse_V,mse_theta,mae_P,mae_Q,mae_V,mae_theta
gat,IEEE118,1000,A,2,128,0.001,0.0075302505865693,319.4499816894531,2.867032289505005,0.0012134797871112,0.0107688410207629,0.9153342843055724,0.0487428531050682,56.09130859375,1145.81787109375,0.0368225909769535,75.85394287109375,0.6336551308631897,5.2679595947265625,0.1066146567463874,5.459899425506592
gat,UK,0,A,2,128,0.001,0.0008949345792643,189.6466217041016,4.373579502105713,0.0003014269459526,0.0016848025843501,32.613555908203125,0.0319248139858245,207.8823089599609,521.2979125976562,0.902436375617981,28.503944396972656,1.9508765935897827,11.63441276550293,0.3147686421871185,3.5942611694335938
gat,UK,100,A,2,128,0.001,0.0906116440892219,1944153.375,204.21243286132807,0.0558845996856689,0.0585425831377506,234.4430389404297,0.2373746931552887,7145583.5,629407.1875,46.6331672668457,1575.85791015625,427.8658142089844,355.70806884765625,1.9442322254180908,31.33159446716309
gat,UK,300,A,2,128,0.001,0.0013736260589212,446.7859191894531,6.885582447052002,0.0005439829546958,0.002377564786002,46.54627227783203,0.0500715710222721,677.0551147460938,1038.132080078125,1.8381885290145876,70.1181869506836,3.813973903656006,17.28791618347168,0.4320849180221557,6.008351802825928
gat,UK,700,A,2,128,0.001,0.0566192679107189,759086.0,144.46070861816406,0.0335460342466831,0.0500515364110469,172.64674377441406,0.2312804609537124,2574754.0,460068.78125,25.289316177368164,1495.9813232421875,254.6402740478516,293.5313415527344,1.41102933883667,28.260234832763672
gat,UK,1000,A,2,128,0.001,0.0024422609712928,1412.364013671875,11.238454818725586,0.0007924898527562,0.0046262415125966,45.18716430664063,0.1001134738326072,1436.947021484375,3930.470458984375,1.732409119606018,280.3065795898437,5.475429534912109,27.90481185913086,0.3596189320087433,11.213958740234377
gin,IEEE24,0,A,3,128,0.001,0.0003567240783013,0.0701981708407402,0.090598352253437,6.770483014406636e-05,0.0003316030779387,0.4797005653381347,0.0071072624996304,0.0225076097995042,0.052588365972042,0.0027948140632361,0.2029018849134445,0.0275072995573282,0.0965321287512779,0.0299939941614866,0.2083600163459777
gin,IEEE24,100,A,3,128,0.001,0.0002648523950483,0.0386962369084358,0.0694053694605827,0.0001271227520192,0.0002729335392359,0.3064059615135193,0.0031027712393552,0.0793481394648552,0.0356259420514106,0.0011402678210288,0.0386705920100212,0.0483375154435634,0.0802859663963317,0.0186830610036849,0.1303149610757827
gin,IEEE24,300,A,3,128,0.001,0.0007463506772182,0.3072888553142547,0.1528736650943756,0.0004117657372262,0.000613530864939,0.5355907678604126,0.0072843204252421,0.8325120806694031,0.1800219416618347,0.0034840044099837,0.2131372839212417,0.1846072226762771,0.1668962240219116,0.0323811769485473,0.2276100367307663
gin,IEEE24,700,A,3,128,0.001,0.0005530622438527,0.1687365025281906,0.1367692798376083,0.0002123028971254,0.0007044033263809,0.552899181842804,0.0072755441069602,0.2213104963302612,0.2372987419366836,0.0037128238473087,0.2126239836215973,0.0877810418605804,0.2053249180316925,0.0323335528373718,0.2216375917196273
gin,IEEE24,1000,A,3,128,0.001,0.0004465403035283,0.1099973693490028,0.1165310144424438,5.055595102021471e-05,0.000611234572716,0.5327273607254028,0.0078148776665329,0.012549739331007,0.1786769181489944,0.0034468511585146,0.2453159093856811,0.0175992846488952,0.1960618644952774,0.0308463666588068,0.2216165661811828
gin,IEEE39,0,A,3,128,0.001,0.0129154818132519,253.6975250244141,1.724493145942688,0.0002353230229346,0.016603386029601,0.517038106918335,0.0289040729403495,0.471528947353363,1005.040771484375,0.017124094069004,9.260639190673828,0.093064896762371,5.002583980560303,0.0815101042389869,1.720814228057861
