arm,model,quantity,n,nrmse_mean,nrmse_sd,nrmse_n_nonfinite,mse_mean,mse_sd,mse_n_nonfinite,mae_mean,mae_sd,mae_n_nonfinite
cross_context,gcn,Q,80,1.0049675916309786,2.677715635183358,1,22161295.597384777,101562028.91120751,1,1091.5594693497767,1959.5651026478376,1
cross_context,gcn,V,80,2.7979467612309143,16.585565212691133,2,0.45837205783104235,3.952217763742857,2,0.04698559244001767,0.1559156513374787,2
cross_context,gcn,theta,80,2.0829563566053717,5.219909082983876,2,791476.7072005761,4280700.208479703,2,236.73479008980286,566.4553410277424,2
cross_context,gin,P,80,0.22430977925250772,0.43703175296992175,0,5183875.21545732,16058740.498099113,0,214.31629253849388,311.44171141848267,0
cross_context,gin,Q,80,1.3219337223417824,6.127733558082744,0,136209789.2495637,1007771256.3192108,0,1746.6209351152181,5980.61355486618,0
cross_context,gin,V,80,11.135275028692558,30.11648827321559,0,1.6703576808361782,6.377311404987401,0,0.13598699999774905,0.24883219935928838,0
cross_context,gin,theta,80,6.908145946112927,15.308221713389553,0,7266004.099681556,21671323.465907138,0,807.8206978023052,1806.4570706673096,0
cross_context,nnconv,P,48,0.8364702327186629,2.0522773501295073,0,41634426.97013855,158820298.75098777,0,474.58529625087976,931.6407894296613,0
cross_context,nnconv,Q,48,1.4325113271479495,3.3976136984407956,0,17678096.57389037,39869081.09036539,0,1009.2378330081701,1571.1176332797643,0
cross_context,nnconv,V,48,1.3228997542367629,3.2450934742799484,0,0.024936162642019807,0.09766401017463908,0,0.03857013198285126,0.045053476223767264,0
cross_context,nnconv,theta,48,6.8805077248835005,19.837705339757285,0,7355242.585677852,30473643.626696635,0,451.7828387618065,1112.4562862320888,0
cross_context,transformer,P,80,0.32317157161887733,0.7563964023685372,0,5902621.5634702565,12149374.769031432,0,245.72456621658057,353.63670536683355,0
cross_context,transformer,Q,80,1.0481305048073408,3.367121528589141,0,9641688.99558115,28196681.587206718,0,821.7259230494499,1482.1068788697603,0
cross_context,transformer,V,80,1.1128000727272593,2.4988282947074505,0,0.01395561569117124,0.04435547408742591,0,0.029989326632858092,0.030710761620320794,0
cross_context,transformer,theta,80,2.099522536317818,4.562468304515186,0,643804.4713775993,2652167.878513328,0,227.8276096880436,447.532734770521,0
ood,arma_gnn,P,20,0.49777809865772726,0.4219759963465034,0,6320473.0515625,5292636.470132548,0,370.1072690963745,211.0759896038818,0
ood,arma_gnn,Q,20,0.8135316463187336,0.8397863649928905,0,5782268.04453125,10826646.59958769,0,774.3282524108887,1025.7120760440912,0
ood,arma_gnn,V,20,1.029189809039235,1.720122994675197,0,0.008021455146081219,0.014344619893002262,0,0.03360558878630395,0.02291650959646699,0
ood,arma_gnn,theta,20,1.2482296392321586,1.3683937842171348,0,85851.93118591308,163656.74511544209,0,176.2204221725464,195.66614712040686,0
ood,gat,P,20,0.18766205580905077,0.19468328066618468,0,4563720.399047852,6971554.713666889,0,246.25472302436827,274.6567714696859,0
ood,gat,Q,20,0.3641748113557696,0.32931355680425534,0,4108088.459375,11135157.823527424,0,616.651068496704,1008.7175750353816,0
ood,gat,V,20,0.9140215024352074,1.373762056384021,0,0.005676149127248145,0.008526216453689341,0,0.02820497741922731,0.014471291823211318,0
ood,gat,theta,20,2.4524740681052206,4.925306593943935,0,755733.8357116699,2733036.868639162,0,278.32888107299806,543.5820989742227,0
ood,gcn,P,20,0.760617583617568,1.073532953080317,0,20655088.6140625,33982564.856406346,0,555.8415435791015,531.7090158695595,0
ood,gcn,Q,20,0.6143878268077969,0.5999158665235517,0,5322715.497460937,13372932.737850064,0,618.4647392272949,886.4642747574877,0
ood,gcn,V,20,1.711138466745615,3.2438036358158953,0,0.022325836325762755,0.056032283352813864,0,0.03558092173188921,0.02649221619909234,0
ood,gcn,theta,20,1.2970794826745986,1.6880228466727283,0,115095.53301086425,285828.7855702006,0,152.02681579589844,173.15721146054253,0
ood,gin,P,20,0.16337083680555223,0.167275215515792,0,3049445.5786132812,4922663.747353445,0,193.850479221344,216.78525682610388,0
ood,gin,Q,20,0.5807992361485959,0.7464549530520278,0,41572401.3152832,174760784.98668894,0,1460.2954219818116,4048.4655299728383,0
ood,gin,V,20,11.905670307576655,41.03707264700771,0,2.841368002345553,12.43136651166158,0,0.17155370325781402,0.49458966187781234,0
ood,gin,theta,20,3.3492768526077272,6.879812364842706,0,1456745.7431610108,5436955.812835042,0,360.73450832366944,702.5292724098197,0
ood,nnconv,P,12,2.6368078142404556,3.5479755554484,0,153149305.0625,304016218.79018414,0,1331.3784764607747,1552.5405107307326,0
ood,nnconv,Q,12,1.1957233889649312,1.3518357242563719,0,4912217.235677083,8241807.3409585655,0,572.7324485778809,391.1107991245794,0
ood,nnconv,V,12,0.9515310811499754,1.8022804057358661,0,0.009283578365284434,0.01928856017476911,0,0.03103688522242005,0.022086578741859923,0
ood,nnconv,theta,12,1.8824933841824532,1.6045831610481986,0,107727.04677327473,122338.5088475229,0,197.22765096028647,138.85767251998527,0
ood,transformer,P,20,0.14302921853959555,0.13695592402313989,0,3715567.8599609374,5451357.707360134,0,208.57090072631837,238.06696014906973,0
ood,transformer,Q,20,0.29891451355069876,0.3374263571531004,0,1590521.1999023438,3116938.8678168342,0,395.969344329834,521.960065520008,0
ood,transformer,V,20,0.930243843793869,1.208931395241725,0,0.006717373142600939,0.006770765809563903,0,0.034120677271857816,0.015942345033822792,0
ood,transformer,theta,20,1.3887652561068535,1.2311117544358359,0,81992.28149414062,162749.28989662946,0,149.48247318267823,118.34290363109432,0
