seed,model,train_grid,mean_nrmse,std_nrmse,mmd_range,g_score
1000,arma_gnn,UK,2.067689180374145,0.0,0.0,2.067689180374145
1000,gat,IEEE24,0.1206396222114563,0.0,0.0,0.1206396222114563
1000,gat,IEEE39,0.1111716032028198,0.0,0.0,0.1111716032028198
1000,gat,IEEE118,0.3594755828380584,0.0,0.0,0.3594755828380584
1000,gat,UK,1.4650449752807615,0.0,0.0,1.4650449752807615
1000,gcn,IEEE24,0.1243242919445037,0.0,0.0,0.1243242919445037
1000,gcn,IEEE39,,,0.0,
1000,gcn,IEEE118,,,0.0,
1000,gcn,UK,0.5911092162132263,0.0,0.0,0.5911092162132263
1000,gin,IEEE24,0.1250095665454864,0.0,0.0,0.1250095665454864
1000,gin,IEEE39,0.1982253044843673,0.0,0.0,0.1982253044843673
1000,gin,IEEE118,0.315426230430603,0.0,0.0,0.315426230430603
1000,gin,UK,0.764625072479248,0.0,0.0,0.764625072479248
1000,transformer,IEEE24,0.1275366395711898,0.0,0.0,0.1275366395711898
1000,transformer,IEEE39,0.1262133568525314,0.0,0.0,0.1262133568525314
1000,transformer,IEEE118,0.3142663240432739,0.0,0.0,0.3142663240432739
1000,transformer,UK,2.1931655406951904,0.0,0.0,2.1931655406951904
