seed,model,train_grid,mean_nrmse,std_nrmse,mmd_range,g_score
300,gin,IEEE118,1.7133642435073853,0.0,0.0,1.7133642435073853
300,gin,UK,0.1379004269838333,0.0,0.0,0.1379004269838333
300,nnconv,IEEE24,0.1476077735424041,0.0,0.0,0.1476077735424041
300,nnconv,IEEE39,0.1475085020065307,0.0,0.0,0.1475085020065307
300,nnconv,IEEE118,1.7635661363601685,0.0,0.0,1.7635661363601685
300,nnconv,UK,0.2354903370141983,0.0,0.0,0.2354903370141983
300,transformer,IEEE24,0.1311071515083313,0.0,0.0,0.1311071515083313
300,transformer,IEEE39,0.150578111410141,0.0,0.0,0.150578111410141
300,transformer,IEEE118,0.7026426196098328,0.0,0.0,0.7026426196098328
300,transformer,UK,0.1442885547876358,0.0,0.0,0.1442885547876358
700,arma_gnn,IEEE24,0.1196097955107688,0.0,0.0,0.1196097955107688
700,arma_gnn,IEEE39,0.1465286165475845,0.0,0.0,0.1465286165475845
700,arma_gnn,IEEE118,0.5557254552841187,0.0,0.0,0.5557254552841187
700,arma_gnn,UK,0.1022916585206985,0.0,0.0,0.1022916585206985
700,gat,IEEE24,0.1351847052574157,0.0,0.0,0.1351847052574157
700,gat,IEEE39,0.1636991053819656,0.0,0.0,0.1636991053819656
700,gat,IEEE118,1.1141034364700315,0.0,0.0,1.1141034364700315
700,gat,UK,0.1373898535966873,0.0,0.0,0.1373898535966873
700,gcn,IEEE24,0.1343118697404861,0.0,0.0,0.1343118697404861
700,gcn,IEEE39,0.1263233423233032,0.0,0.0,0.1263233423233032
700,gcn,IEEE118,21.58047103881836,0.0,0.0,21.58047103881836
700,gcn,UK,1.17780601978302,0.0,0.0,1.17780601978302
700,gin,IEEE24,0.1414123773574829,0.0,0.0,0.1414123773574829
700,gin,IEEE39,0.1796474754810333,0.0,0.0,0.1796474754810333
700,gin,IEEE118,14.171598434448242,0.0,0.0,14.171598434448242
700,gin,UK,0.1333328038454055,0.0,0.0,0.1333328038454055
700,transformer,IEEE24,0.1019500270485878,0.0,0.0,0.1019500270485878
700,transformer,IEEE39,0.1543804854154586,0.0,0.0,0.1543804854154586
700,transformer,IEEE118,9.661797523498535,0.0,0.0,9.661797523498535
700,transformer,UK,0.1366167068481445,0.0,0.0,0.1366167068481445
1000,arma_gnn,IEEE24,0.1294620186090469,0.0,0.0,0.1294620186090469
1000,arma_gnn,IEEE39,0.1470985412597656,0.0,0.0,0.1470985412597656
1000,arma_gnn,IEEE118,2.432988166809082,0.0,0.0,2.432988166809082
1000,arma_gnn,UK,0.1270124614238739,0.0,0.0,0.1270124614238739
1000,gat,IEEE24,0.140898510813713,0.0,0.0,0.140898510813713
1000,gat,IEEE39,0.1641062349081039,0.0,0.0,0.1641062349081039
1000,gat,IEEE118,0.6398714184761047,0.0,0.0,0.6398714184761047
1000,gat,UK,0.1302025020122528,0.0,0.0,0.1302025020122528
1000,gcn,IEEE24,0.1267656087875366,0.0,0.0,0.1267656087875366
1000,gcn,IEEE39,0.129843607544899,0.0,0.0,0.129843607544899
1000,gcn,IEEE118,2.4703409671783447,0.0,0.0,2.4703409671783447
1000,gcn,UK,1.2127296924591064,0.0,0.0,1.2127296924591064
1000,gin,IEEE24,0.1374484598636627,0.0,0.0,0.1374484598636627
1000,gin,IEEE39,0.1853626519441604,0.0,0.0,0.1853626519441604
1000,gin,IEEE118,4.91578483581543,0.0,0.0,4.91578483581543
1000,gin,UK,0.16380675137043,0.0,0.0,0.16380675137043
