arm,model,quantity,gnn_nrmse,dc_nrmse,gnn_over_dc
cross_context,gin,Q,6.273398554045707,0.10772182606160637,58.23702385492366
cross_context,gin,V,3584.057198898308,0.15120964683592314,23702.569736091977
cross_context,gin,theta,210.66889623561875,0.0611570279579609,3444.7209629027707
cross_context,gin,aggregate,3.7357209944020724,0.06923703849315638,53.95552836609734
cross_context,gin,PVtheta,1264.9674417778792,0.07485892685751115,16898.017309086707
cross_context,nnconv,P,0.23497056910370398,0.0122101057786494,19.243942138042218
cross_context,nnconv,Q,1.3267843989403143,0.10772182606160637,12.31676483261176
cross_context,nnconv,V,299.4978791891287,0.15120964683592314,1980.6797083132692
cross_context,nnconv,theta,19.332376963924617,0.0611570279579609,316.11047183675464
cross_context,nnconv,aggregate,1.1996666013049737,0.06923703849315638,17.32694851504304
cross_context,nnconv,PVtheta,106.35507557405232,0.07485892685751115,1420.7400511697415
cross_context,transformer,P,0.07237676405638918,0.0122101057786494,5.927611551322286
cross_context,transformer,Q,1.5179296047834214,0.10772182606160637,14.091198230480366
cross_context,transformer,V,312.26836751140655,0.15120964683592314,2065.135221499773
cross_context,transformer,theta,11.138933428516612,0.0611570279579609,182.13660474432263
cross_context,transformer,aggregate,0.9912749657349196,0.06923703849315638,14.317119670462228
cross_context,transformer,PVtheta,107.82655923465984,0.07485892685751115,1440.3968071823995
ood,arma_gnn,P,0.08469147980213163,0.0122101057786494,6.9361790419722
ood,arma_gnn,Q,0.10046718716621394,0.10772182606160637,0.9326539554644806
ood,arma_gnn,V,25.760567039251328,0.15120964683592314,170.3632511436522
ood,arma_gnn,theta,1.0682882837951184,0.0611570279579609,17.4679561689861
ood,arma_gnn,aggregate,0.13210438415408132,0.06923703849315638,1.9080016567597553
ood,arma_gnn,PVtheta,8.971182267616191,0.07485892685751115,119.84118186321616
ood,gat,P,0.10232443101704117,0.0122101057786494,8.380306679731287
ood,gat,Q,0.12098082490265365,0.10772182606160637,1.1230855373122288
ood,gat,V,37.482683116197585,0.15120964683592314,247.8855278120573
ood,gat,theta,1.340816330909729,0.0611570279579609,21.924157789868417
ood,gat,aggregate,0.1582743279635906,0.06923703849315638,2.2859777282246836
ood,gat,PVtheta,12.97527462604145,0.07485892685751115,173.32969053562573
ood,gcn,P,0.14315937887877223,0.0122101057786494,11.724663280894815
ood,gcn,Q,0.1762863306328654,0.10772182606160637,1.6364959365992071
ood,gcn,V,59.262998168170455,0.15120964683592314,391.9260404891789
ood,gcn,theta,1.5781441390514375,0.0611570279579609,25.804787965436244
ood,gcn,aggregate,0.2307861559092998,0.06923703849315638,3.3332759594001335
ood,gcn,PVtheta,20.32810056203355,0.07485892685751115,271.5521236462112
ood,gin,P,0.087504655867815,0.0122101057786494,7.166576396154217
ood,gin,Q,0.16862061694264407,0.10772182606160637,1.5653338149523157
ood,gin,V,151.83842349648475,0.15120964683592314,1004.1583104895675
ood,gin,theta,3.5639782026410103,0.0611570279579609,58.27585678445452
ood,gin,aggregate,0.1660771586000919,0.06923703849315638,2.3986750764405893
ood,gin,PVtheta,51.82996878499787,0.07485892685751115,692.3685786152488
ood,nnconv,P,1.3688805121928453,0.0122101057786494,112.11045481575358
ood,nnconv,Q,0.24209602798024812,0.10772182606160637,2.247418530036734
ood,nnconv,V,76.0091762940089,0.15120964683592314,502.67412089445645
ood,nnconv,theta,1.9366345703601837,0.0611570279579609,31.66659066054385
