arm,model,quantity,n,nrmse_mean,nrmse_sd,mse_mean,mse_sd,mae_mean,mae_sd
regime_a,nnconv,P,12,0.00047631309037866665,0.0003493924133856829,60.220230559508,125.27300504926104,0.595115919287006,0.7754738556895554
regime_a,nnconv,Q,12,0.00572075016195105,0.006902445625410825,389.0575897656381,441.93905356859415,3.8822227654357753,2.990472968631602
regime_a,nnconv,V,12,5.783407062292099,8.529738338472189,0.13438812270760533,0.14642278120683286,0.130933020884792,0.06622014208353019
regime_a,nnconv,theta,12,0.02245146055550619,0.01247537085099606,12.723817877471447,9.08988569852207,1.8580266411105792,1.0740242745796797
regime_a,transformer,P,20,0.0017391750436217602,0.005189800339272872,64868.82289556544,288079.7308782624,7.301173246651888,27.746600470310767
regime_a,transformer,Q,20,0.00856475987238804,0.010220504880823971,18067.72570898086,73368.8066010703,21.85164086818695,61.067241418847225
regime_a,transformer,V,20,24.90625904127955,59.536896956682405,3.39390957391588,12.03424335646271,0.26789347082376475,0.5443660897296844
regime_a,transformer,theta,20,0.05076452876674007,0.0689458335725582,188.9065420549363,609.3180493602749,5.17948774471879,9.059071372232005
cross_context,arma_gnn,P,80,0.06475835767487292,0.0409250046662384,3800421.0331730484,7876909.276006786,167.14915992617608,292.0034284813138
cross_context,arma_gnn,Q,80,0.5252201265189796,1.3309416619769674,67516909.56172219,336857004.57196563,1504.7790119230747,5001.264083197826
cross_context,arma_gnn,V,80,232.49975871406497,1100.9672241274825,2050.7188427663177,14459.48655587571,5.1118784011807294,17.345989430525844
cross_context,arma_gnn,theta,80,16.075896984059362,56.319253107630125,114501470.36578003,600320607.660841,2465.199104128778,9547.306405722904
cross_context,gat,P,80,0.0713479514510254,0.04215733523164777,5658417.078815674,14319685.731126906,192.61096373945475,342.5854406695663
cross_context,gat,Q,80,0.3408096524013672,0.6237347604047678,64073163.24173965,293890264.7672641,1498.9167988568545,5057.303444470994
cross_context,gat,V,80,143.59244562983514,468.11867349582246,391.15429474386036,2324.6578215531454,3.143967704148963,6.841514040167935
cross_context,gat,theta,80,4.894322905689478,19.01562216176946,12844941.41744132,103412896.43959336,668.7892528891564,2999.8318874443517
cross_context,gcn,P,80,0.3167403413492138,0.5569269374713621,35472878.68627872,178153424.4896885,425.96405850350857,1017.4142909549893
cross_context,gcn,Q,80,2.606261416070629,7.469139298687859,3077349323.6407547,20419145143.723003,9110.465213775635,42024.426717187926
cross_context,gcn,V,80,551.1899412810802,3351.3307337171786,18227.866827745085,153143.41258755085,9.629253321746365,48.17937404507666
cross_context,gcn,theta,80,34.45434731370769,131.18999040415335,591613877.5783011,4164395225.5671444,4522.763136374951,20557.566471694
cross_context,gin,P,80,0.17623019971069878,0.6581507494427443,268741908.55867773,2343241685.332994,546.7492108128965,3003.325356547771
cross_context,gin,Q,80,6.273398554045707,23.74971389291473,154151520242.0383,824774631880.1183,55128.80867006779,260490.77474000058
cross_context,gin,V,80,3584.057198898308,22523.024676126937,812434.6056452469,7028542.1019972265,50.51223443578929,311.26680962467907
cross_context,gin,theta,80,210.66889623561875,993.7649583872435,34947871659.93639,245498437932.22226,28835.3130358696,138161.14040790216
cross_context,nnconv,P,48,0.23497056910370398,0.6561058528832779,8101166.598301709,18366140.07413704,250.1813768936942,400.69139421846796
cross_context,nnconv,Q,48,1.3267843989403143,4.754311708238758,289285981.8213355,986480717.4241416,2724.5577807078757,7746.092193143919
