model,train_grid,test_grid,unseen,seed,regime,num_layers,hidden,learning_rate,nrmse,mse,mae,nrmse_P,nrmse_Q,nrmse_V,nrmse_theta,mse_P,mse_Q,mse_V,mse_theta,mae_P,mae_Q,mae_V,mae_theta
transformer,IEEE24,UK,True,1000,B,2,128,0.001,0.1359277814626693,5004732.0,553.357177734375,0.0815061852335929,0.1187126711010932,292.56427001953125,2.300945520401001,15882130.0,3955132.25,135.33078002929688,181527.96875,691.6658325195312,1199.3438720703125,3.5620079040527344,318.85699462890625
transformer,IEEE39,IEEE24,True,0,B,2,128,0.001,0.1614498198032379,15297.7998046875,29.74552345275879,0.1018036678433418,0.131067082285881,4.3226637840271,0.3875491321086883,48959.875,10908.7919921875,0.4106235206127167,1322.1160888671875,43.22698593139648,49.1593017578125,0.3378428518772125,26.257963180541992
transformer,IEEE39,IEEE39,False,0,B,2,128,0.001,0.0221412423998117,796.1181640625,4.387689113616943,0.0103905331343412,0.0230278149247169,0.4679819047451019,0.0587766058743,931.6497192382812,2201.33349609375,0.0169059187173843,51.47228240966797,1.7440907955169678,11.262017250061035,0.0718020498752594,4.472845554351807
transformer,IEEE39,IEEE118,True,0,B,2,128,0.001,0.1031397059559822,61121.25390625,48.99884033203125,0.0700018405914306,0.0668079480528831,1.65682852268219,0.5600343942642212,188459.21875,45890.109375,0.1661998927593231,10135.5146484375,39.54728698730469,62.1982536315918,0.2868619561195373,93.96294403076172
transformer,IEEE39,UK,True,0,B,2,128,0.001,0.1482859402894973,5956132.0,578.3264770507812,0.0913572236895561,0.1099321320652961,73.02686309814453,3.739980697631836,19953240.0,3391690.0,8.431781768798828,479589.4375,767.0242309570312,1053.6884765625,0.9386308789253236,491.6546020507813
transformer,IEEE39,IEEE24,True,100,B,2,128,0.001,0.1618609428405761,15375.80859375,31.756250381469727,0.1019165590405464,0.1272040456533432,5.17896032333374,0.4952314794063568,49068.515625,10275.2236328125,0.5894215703010559,2158.900146484375,43.25594329833984,47.97526550292969,0.4067598581314087,35.38701629638672
transformer,IEEE39,IEEE39,False,100,B,2,128,0.001,0.0221583172678947,797.3465576171875,4.465116500854492,0.0101893441751599,0.0232450366020202,0.6107496023178101,0.0581479109823703,895.9204711914062,2243.059814453125,0.0287943314760923,50.377044677734375,1.7406178712844849,11.525754928588867,0.0992162302136421,4.494877815246582
transformer,IEEE39,IEEE118,True,100,B,2,128,0.001,0.1059493198990821,64496.6015625,50.03042984008789,0.0727710425853729,0.0649908334016799,2.733898162841797,0.5806008577346802,203664.625,43427.71875,0.4525226056575775,10893.6064453125,41.15422821044922,60.37584686279297,0.4195785820484161,98.17206573486328
transformer,IEEE39,UK,True,100,B,2,128,0.001,0.1461451202630996,5785394.0,559.5731811523438,0.0897515937685966,0.1103752255439758,127.91911315917967,3.6804046630859375,19258032.0,3419086.5,25.87169647216797,464431.96875,751.495361328125,993.4602661132812,1.6716736555099487,491.6652221679688
transformer,IEEE39,IEEE24,True,300,B,2,128,0.001,0.1581785231828689,14684.1513671875,31.847633361816406,0.0994414091110229,0.1173295378684997,5.878503799438477,0.6104087233543396,46714.1015625,8741.865234375,0.7594066858291626,3279.876953125,42.118072509765625,41.95402526855469,0.5132824182510376,42.80515670776367
transformer,IEEE39,IEEE39,False,300,B,2,128,0.001,0.0216460861265659,760.9083862304688,4.6331987380981445,0.0097858496010303,0.0228077620267868,0.7073131799697876,0.0622648485004901,826.3690795898438,2159.462890625,0.0386192798614501,57.76306915283203,1.972217321395874,11.56121063232422,0.1124060079455375,4.886961460113525
transformer,IEEE39,IEEE118,True,300,B,2,128,0.001,0.1057212352752685,64219.2109375,49.44938659667969,0.073073573410511,0.0630718469619751,1.914514780044556,0.573103129863739,205361.546875,40900.99609375,0.2219182699918747,10614.0703125,41.308876037597656,61.023738861083984,0.3008996844291687,95.1640396118164
transformer,IEEE39,UK,True,300,B,2,128,0.001,0.150578111410141,6141692.0,616.5994262695312,0.0895885080099105,0.1295205205678939,130.86306762695312,4.422337055206299,19188108.0,4708082.0,27.076229095458984,670555.3125,749.6746826171875,1162.6134033203125,1.625582933425903,552.4837646484375
transformer,IEEE39,IEEE24,True,700,B,2,128,0.001,0.1566076427698135,14393.9404296875,27.381200790405277,0.1008641645312309,0.1141764894127845,10.16218376159668,0.3745303452014923,48060.3828125,8278.330078125,2.269420623779297,1234.781494140625,42.7850456237793,41.12438583374024,0.5127097964286804,25.102670669555664
