model,held_out_grid,seed,regime,num_layers,hidden,learning_rate,nrmse,mse,mae,nrmse_P,nrmse_Q,nrmse_V,nrmse_theta,mse_P,mse_Q,mse_V,mse_theta,mae_P,mae_Q,mae_V,mae_theta
gin,IEEE24,100,B,3,128,0.001,0.1559288948774337,14269.443359375,27.037755966186523,0.1011560186743736,0.1107958853244781,7.122502326965332,0.3271925449371338,48338.91796875,7795.3681640625,1.114823341369629,942.373046875,42.93108367919922,39.6435432434082,0.5488481521606445,25.027549743652344
gin,IEEE24,300,B,3,128,0.001,0.1568867713212967,14445.2978515625,27.54693603515625,0.1018717139959335,0.1055647283792495,7.637510299682617,0.4365949928760528,49025.34375,7076.64013671875,1.281871318817139,1677.928955078125,43.27337646484375,34.47998809814453,0.671574592590332,31.762819290161133
gin,IEEE24,700,B,3,128,0.001,0.1556700617074966,14222.1083984375,26.89454841613769,0.1012939512729644,0.1045337319374084,5.179240703582764,0.4097481369972229,48470.83203125,6939.08642578125,0.5894854068756104,1477.917236328125,43.000267028808594,35.15586471557617,0.4407219886779785,28.98133850097656
gin,IEEE24,1000,B,3,128,0.001,0.1577948629856109,14613.0048828125,29.90496826171875,0.102116622030735,0.1068062931299209,6.764707088470459,0.4701301455497741,49261.34765625,7244.07666015625,1.0056315660476685,1945.5941162109373,43.339725494384766,42.003150939941406,0.4645291268825531,33.81246566772461
gin,IEEE39,0,B,3,128,0.001,0.1413587033748626,32450.298828125,44.81417083740234,0.0900611504912376,0.1142422407865524,3.69182562828064,0.6146155595779419,69992.578125,54179.34765625,1.052114486694336,5628.2255859375,40.66659164428711,77.7657699584961,0.6748313903808594,60.14947891235352
gin,IEEE39,100,B,3,128,0.001,0.1558925807476043,39466.125,55.79193115234375,0.0891357734799385,0.1424311399459839,6.18410062789917,0.5841883420944214,68561.625,84215.1640625,2.952118158340454,5084.7568359375,40.21202850341797,119.0304718017578,1.0945450067520142,62.830692291259766
gin,IEEE39,300,B,3,128,0.001,0.140010729432106,31834.36328125,48.49833297729492,0.0892569497227668,0.1099449768662452,7.49181318283081,0.7510765790939331,68748.15625,50180.0546875,4.3326592445373535,8404.90625,40.286170959472656,73.98743438720703,1.205790400505066,78.51392364501953
gin,IEEE39,700,B,3,128,0.001,0.1361318826675415,30094.9296875,41.25120162963867,0.0890977308154106,0.1066537797451019,8.383681297302246,0.5586817860603333,68503.1171875,47220.75,5.425630569458008,4650.43310546875,40.21014022827149,67.60311889648438,1.5340933799743652,55.65746307373047
gin,IEEE39,1000,B,3,128,0.001,0.1416302472352981,32575.08984375,48.6056022644043,0.0893674343824386,0.1118369102478027,3.6609742641448975,0.7967814207077026,68918.4609375,51921.91015625,1.034603714942932,9458.947265625,40.33910751342773,78.71841430664062,0.6472161412239075,74.71765899658203
gin,IEEE118,0,B,3,128,0.001,0.1033912524580955,61419.7578125,54.02536010742188,0.0694068223237991,0.0663097202777862,4.276935577392578,0.6858417987823486,185269.0,45208.19921875,1.1074930429458618,15200.7236328125,39.19943618774414,60.544395446777344,0.6834653615951538,115.67415618896484
gin,IEEE118,100,B,3,128,0.001,0.1050376072525978,63391.37109375,59.75203323364258,0.0693419054150581,0.0681431889533996,5.983919143676758,0.8041623830795288,184922.578125,47742.78125,2.167938709259033,20897.958984375,39.16097640991211,64.77674102783203,0.7746930718421936,134.2957305908203
gin,IEEE118,300,B,3,128,0.001,0.1145164966583252,75348.84375,85.48902893066406,0.0699926242232322,0.0699283555150032,9.679911613464355,1.3929524421691897,188409.578125,50277.0078125,5.673072814941406,62703.08984375,39.53651809692383,69.39503479003906,1.3461058139801023,231.6784820556641
gin,IEEE118,700,B,3,128,0.001,0.1040954887866973,62259.30859375,55.351470947265625,0.0696634128689765,0.0669001191854476,1.0371593236923218,0.7119259834289551,186641.375,46016.8203125,0.0651278272271156,16378.94921875,39.34713745117188,61.04381942749024,0.1304508298635482,120.88448333740234
